        m,                       p[1]
 1.00e+00,        -8.100015263495e-03
 2.00e+00,        +9.654036567902e-01
 3.00e+00,        +2.345387313401e-03
 4.00e+00,        +3.752384009583e-05
 5.00e+00,        -9.571998612634e-06
 6.00e+00,        -1.788410377944e-04
