        m,                       p[1]
 1.00e+00,        -9.657361981556e-01
 2.00e+00,        +1.063997047232e-02
 3.00e+00,        -2.185842794944e-03
 4.00e+00,        -6.952063679890e-05
 5.00e+00,        +1.008624324594e-05
 6.00e+00,        +5.862553522328e-04
 7.00e+00,        -4.633377283785e-04
