        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +3.787456983334e+00,        +6.515803130784e-06,        +2.906362352666e+05,        +1.883194159615e-09,        +4.619360227205e-02
 2.00e+00,        +3.976960144522e+00,        -5.195750103656e-07,        +3.827128003831e+06,        +1.043118840452e-09,        +2.558706994805e-02
 3.00e+00,        +9.300036436637e+00,        +7.184757082349e-03,        +6.472062385227e+02,        +1.506857416222e-07,        +3.696240617203e+00
 4.00e+00,        +1.021055937393e+01,        +6.776254724687e-01,        +7.550645931585e+00,        +5.962084112172e-08,        +1.462468328234e+00
 5.00e+00,        +1.184828043092e+01,        +7.894364128800e-05,        +7.504265218752e+04,        +1.163305212218e-07,        +2.853531057107e+00
 6.00e+00,        +1.747056405635e+01,        -1.534603462214e-01,        +5.692427544507e+01,        +1.987712357720e-06,        +4.875788690030e+01
 7.00e+00,        +1.833234379133e+01,        +2.286191733960e-01,        +4.009674472332e+01,        +3.699085887022e-06,        +9.073736974470e+01
