        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +4.054016439583e+00,        +7.084000379696e-06,        +2.861389202638e+05,        +9.683563367503e-10,        +7.381559759132e-02
 2.00e+00,        +4.247958488051e+00,        -1.395941603497e-06,        +1.521538751123e+06,        +9.737809304274e-10,        +7.422910393063e-02
 3.00e+00,        +9.560020332408e+00,        +5.184856265641e-04,        +9.219175862039e+03,        +1.633836380918e-08,        +1.245437327807e+00
 4.00e+00,        +1.065750334182e+01,        +9.679654864517e-01,        +5.527764595262e+00,        +3.346475154127e-08,        +2.550944516582e+00
 5.00e+00,        +1.209855790410e+01,        +3.769427736629e-05,        +1.604826879501e+05,        +2.333070362603e-08,        +1.778448788836e+00
 6.00e+00,        +1.791278675485e+01,        -5.837166983212e-02,        +1.534381482730e+02,        +4.472056576438e-07,        +3.408955978229e+01
