        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +4.015274567205e+00,        -1.558048230678e-07,        +1.288559137049e+07,        +6.159362446734e-09,        +1.510854382197e-01
 2.00e+00,        +4.089436310353e+00,        -1.160555086726e-06,        +1.761844981391e+06,        +1.237279309382e-08,        +3.034971465200e-01
 3.00e+00,        +9.531417324082e+00,        +9.666827761660e-04,        +4.929961311045e+03,        +7.156698328288e-08,        +1.755499964598e+00
 4.00e+00,        +1.104496401166e+01,        +7.990032175996e-01,        +6.929775990184e+00,        +9.733875121620e-08,        +2.387670089964e+00
 5.00e+00,        +1.200512924125e+01,        -2.325406084735e-04,        +2.581297374748e+04,        +1.022108414268e-07,        +2.507181600828e+00
