        m,                       p[1]
 1.00e+00,        +6.382218770883e-02
 2.00e+00,        -9.107837426864e-01
 3.00e+00,        +2.330618897232e-03
 4.00e+00,        +4.039631801321e-05
 5.00e+00,        +1.396506709698e-05
